Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date
NY-CMP-1075,Email,Premium Shoppers,29.00,YouTube,48871.00,6658.00,3972.00,2058.00,1636110.00,133.98,4.93,Bengali,25.96,Working Women,14-11-2024
NY-CMP-1076,Influencer,Tier 2 City Customers,24.00,"Google, Facebook, Instagram",74794.00,6057.00,1939.00,1470.00,799680.00,100.41,4.42,English,12.66,Youth,07-07-2024
NY-CMP-1077,Social Media,Premium Shoppers,13.00,"Instagram, YouTube, WhatsApp",37745.00,1091.00,361.00,114.00,45030.00,1000.73,-0.61,English,4.15,Working Women,23-02-2025
NY-CMP-1078,Email,Working Women,26.00,"Instagram, Facebook, Google",41410.00,905.00,449.00,156.00,75504.00,1252.69,-0.61,Bengali,3.65,Premium Shoppers,20-07-2024
NY-CMP-1079,Paid Ads,Premium Shoppers,17.00,"Instagram, Email, YouTube",30448.00,4531.00,1041.00,767.00,546871.00,315.83,1.26,Bengali,20.82,Premium Shoppers,28-08-2024
NY-CMP-1080,Email,Working Women,6.00,"Email, Google",79031.00,7614.00,1912.00,1166.00,719422.00,87.20,6.08,Bengali,13.53,Youth,03-09-2025
NY-CMP-1081,Social Media,Youth,12.00,"Email, Instagram, WhatsApp",69794.00,3864.00,1627.00,923.00,318435.00,271.48,0.27,Hindi,9.19,Working Women,15-01-2025
NY-CMP-1082,Social Media,Tier 2 City Customers,11.00,Google,10613.00,1093.00,468.00,344.00,73272.00,693.71,-0.69,Hindi,17.95,Working Women,05-09-2025
NY-CMP-1083,SEO,Youth,9.00,"WhatsApp, Facebook, Google",14824.00,1848.00,713.00,229.00,111294.00,542.97,-0.10,Hindi,18.82,Premium Shoppers,06-11-2025
NY-CMP-1084,Influencer,Tier 2 City Customers,22.00,WhatsApp,38900.00,4362.00,1416.00,1056.00,291456.00,212.22,0.30,Tamil,17.57,College Students,11-06-2024
NY-CMP-1085,Paid Ads,Youth,10.00,"Email, WhatsApp, Facebook",27040.00,1352.00,274.00,153.00,42075.00,460.92,-0.40,Hindi,6.58,Premium Shoppers,06-07-2025
NY-CMP-1086,Influencer,College Students,16.00,"Facebook, Instagram",45406.00,2768.00,1052.00,747.00,511695.00,321.69,1.13,Bengali,10.06,Youth,29-09-2024
NY-CMP-1087,Social Media,College Students,5.00,"Instagram, Google",48041.00,2478.00,1229.00,553.00,311892.00,511.70,0.10,English,8.87,College Students,20-06-2025
NY-CMP-1088,Social Media,Working Women,30.00,"Instagram, Facebook, Email",84207.00,6175.00,1941.00,1352.00,461032.00,214.63,0.59,Bengali,11.24,Working Women,29-10-2024
NY-CMP-1089,Social Media,Youth,16.00,"Google, WhatsApp",77548.00,1844.00,706.00,226.00,72772.00,1072.32,-0.70,Hindi,3.58,Tier 2 City Customers,27-08-2024
NY-CMP-1090,Email,Premium Shoppers,13.00,"Instagram, Email",76619.00,7278.00,3935.00,1746.00,790938.00,152.82,1.96,Tamil,16.91,Tier 2 City Customers,11-05-2024
NY-CMP-1091,SEO,Tier 2 City Customers,21.00,YouTube,37600.00,2906.00,1624.00,1006.00,690116.00,253.33,1.71,English,14.72,Premium Shoppers,04-10-2025
NY-CMP-1092,Social Media,College Students,7.00,"WhatsApp, Instagram, Google",32302.00,1239.00,367.00,156.00,124800.00,1295.52,-0.38,Hindi,5.45,Tier 2 City Customers,04-12-2025
NY-CMP-1093,Email,Premium Shoppers,9.00,"Email, YouTube, WhatsApp",11042.00,459.00,189.00,96.00,60960.00,2660.53,-0.76,Hindi,6.74,Working Women,25-01-2025
NY-CMP-1094,Influencer,College Students,18.00,Google,12916.00,1058.00,269.00,84.00,23352.00,725.46,-0.62,Hindi,10.92,Working Women,08-05-2024
NY-CMP-1095,Paid Ads,Working Women,29.00,"Google, Facebook, Instagram",73403.00,7231.00,1683.00,766.00,311762.00,337.92,0.20,English,13.19,Youth,08-11-2024
NY-CMP-1096,Paid Ads,Premium Shoppers,18.00,Instagram,71114.00,1814.00,870.00,350.00,232750.00,827.25,-0.20,Tamil,4.27,Youth,09-10-2024
NY-CMP-1097,Email,Working Women,21.00,"Email, WhatsApp",96478.00,3700.00,1111.00,711.00,366876.00,282.59,0.83,Hindi,5.72,Working Women,23-11-2024
NY-CMP-1098,SEO,Working Women,21.00,Email,96239.00,3852.00,2172.00,1568.00,460992.00,110.50,1.66,English,7.89,Working Women,19-11-2024
NY-CMP-1099,Paid Ads,Working Women,22.00,"Instagram, WhatsApp, Google",15712.00,2049.00,698.00,518.00,161616.00,185.06,0.69,English,20.78,Premium Shoppers,24-03-2025
NY-CMP-1100,SEO,Tier 2 City Customers,5.00,"Email, Google, Facebook",65961.00,3729.00,1011.00,805.00,642390.00,117.32,5.80,Bengali,8.41,Tier 2 City Customers,01-08-2025
NY-CMP-1101,Influencer,Working Women,24.00,"Google, Facebook",91963.00,9000.00,4091.00,1250.00,507500.00,150.39,1.70,Hindi,15.59,Youth,01-07-2025
NY-CMP-1102,Social Media,Tier 2 City Customers,10.00,"Email, Instagram, Facebook",41454.00,6034.00,2744.00,1271.00,441037.00,64.77,4.36,Tamil,24.24,Premium Shoppers,20-10-2024
NY-CMP-1103,Paid Ads,Premium Shoppers,27.00,"Google, YouTube, WhatsApp",62808.00,3704.00,743.00,431.00,286615.00,207.69,2.20,Bengali,7.77,Working Women,21-03-2025
NY-CMP-1104,Social Media,College Students,16.00,WhatsApp,44568.00,5722.00,2794.00,2033.00,742045.00,119.14,2.06,Hindi,23.67,College Students,31-05-2025
NY-CMP-1105,SEO,Premium Shoppers,23.00,"Email, WhatsApp",78393.00,10859.00,4614.00,2346.00,1381794.00,48.99,11.02,Bengali,22.73,Working Women,23-08-2024
NY-CMP-1106,SEO,Youth,16.00,Google,36778.00,2873.00,976.00,338.00,240656.00,547.44,0.30,Hindi,11.38,Tier 2 City Customers,11-05-2024
NY-CMP-1107,Influencer,Youth,19.00,Email,29254.00,3754.00,1868.00,942.00,399408.00,296.39,0.43,Tamil,22.44,Tier 2 City Customers,27-01-2025
NY-CMP-1108,SEO,Youth,13.00,"Facebook, Instagram, YouTube",16762.00,1911.00,519.00,285.00,180405.00,1018.44,-0.38,Hindi,16.20,Youth,20-11-2024
NY-CMP-1109,Influencer,College Students,8.00,Facebook,30349.00,1590.00,535.00,416.00,143104.00,130.39,1.64,Bengali,8.37,Premium Shoppers,23-12-2024
NY-CMP-1110,Paid Ads,Working Women,6.00,"WhatsApp, Instagram, Google",93228.00,5488.00,2887.00,1070.00,739370.00,249.36,1.77,Bengali,10.13,College Students,29-04-2025
NY-CMP-1111,Influencer,College Students,16.00,Google,32725.00,917.00,353.00,262.00,133096.00,277.31,0.83,Bengali,4.68,Premium Shoppers,27-05-2025
NY-CMP-1112,Social Media,Tier 2 City Customers,6.00,"Facebook, Google",37912.00,2193.00,1175.00,779.00,555427.00,69.68,9.23,Bengali,10.94,Working Women,19-06-2025
NY-CMP-1113,Influencer,Youth,28.00,"WhatsApp, Facebook, Instagram",84684.00,6830.00,3006.00,2183.00,1403669.00,37.23,16.27,English,14.19,Working Women,13-09-2024
NY-CMP-1114,Social Media,Tier 2 City Customers,27.00,"Facebook, Instagram, YouTube",51006.00,7110.00,2461.00,769.00,432178.00,298.91,0.88,Hindi,20.27,College Students,26-09-2024
NY-CMP-1115,Influencer,Working Women,10.00,"WhatsApp, Facebook",71767.00,10510.00,5442.00,3276.00,1539720.00,60.15,6.81,Bengali,26.79,Working Women,05-10-2025
NY-CMP-1116,Paid Ads,College Students,17.00,"WhatsApp, Facebook, YouTube",92095.00,9825.00,4595.00,2248.00,1717472.00,34.81,20.95,English,18.10,Working Women,23-08-2024
NY-CMP-1117,Paid Ads,Youth,20.00,Facebook,74063.00,6065.00,1600.00,687.00,324951.00,297.63,0.59,Hindi,11.28,College Students,15-12-2024
NY-CMP-1118,Social Media,Working Women,13.00,"Instagram, YouTube, Google",36974.00,3888.00,2249.00,752.00,407584.00,182.75,1.97,English,18.63,Premium Shoppers,18-10-2024
NY-CMP-1119,Email,Premium Shoppers,15.00,YouTube,46818.00,3423.00,2031.00,1219.00,884994.00,154.12,3.71,Tamil,14.25,Youth,13-06-2025
NY-CMP-1120,Influencer,Premium Shoppers,26.00,YouTube,80082.00,10026.00,2337.00,1352.00,913952.00,80.25,7.42,English,17.13,Tier 2 City Customers,17-11-2024
NY-CMP-1121,Email,Working Women,11.00,"Instagram, Facebook",18334.00,2001.00,1096.00,868.00,402752.00,165.01,1.81,Bengali,21.63,Premium Shoppers,01-09-2025
NY-CMP-1122,Influencer,Working Women,21.00,Facebook,74764.00,8071.00,3586.00,1901.00,885866.00,155.84,1.99,Hindi,18.13,Premium Shoppers,24-01-2025
NY-CMP-1123,Social Media,Tier 2 City Customers,29.00,"Instagram, Email",74129.00,2626.00,1462.00,1163.00,623368.00,141.12,2.80,Hindi,7.08,Premium Shoppers,04-02-2025
NY-CMP-1124,Influencer,Tier 2 City Customers,29.00,Facebook,27923.00,2989.00,1452.00,817.00,625822.00,359.28,1.13,Hindi,18.83,Working Women,19-05-2025
NY-CMP-1125,Paid Ads,College Students,28.00,"Instagram, Facebook, Email",19354.00,637.00,246.00,74.00,33522.00,1025.97,-0.56,English,4.94,Premium Shoppers,15-12-2024
NY-CMP-1126,Social Media,Tier 2 City Customers,8.00,"Instagram, Google",25188.00,1025.00,472.00,187.00,118558.00,480.96,0.32,Bengali,6.69,Tier 2 City Customers,26-11-2024
NY-CMP-1127,Influencer,Premium Shoppers,18.00,WhatsApp,29617.00,2372.00,865.00,538.00,368530.00,168.80,3.06,Tamil,12.75,College Students,20-01-2025
NY-CMP-1128,SEO,Premium Shoppers,27.00,"Email, Instagram",25041.00,3511.00,991.00,379.00,223231.00,598.76,-0.02,Hindi,19.49,Working Women,12-04-2024
NY-CMP-1129,Social Media,Working Women,11.00,"Email, Google",78990.00,2360.00,1125.00,732.00,453840.00,347.66,0.78,Hindi,5.34,Youth,21-05-2025
NY-CMP-1130,Email,Youth,30.00,Facebook,88461.00,2327.00,999.00,358.00,100956.00,410.10,-0.31,Hindi,4.16,Youth,05-01-2025
NY-CMP-1131,SEO,Tier 2 City Customers,16.00,Email,16853.00,656.00,378.00,287.00,80073.00,1039.27,-0.73,Tamil,7.84,Premium Shoppers,06-04-2025
NY-CMP-1132,SEO,Working Women,20.00,"WhatsApp, Google",83484.00,6219.00,2837.00,1554.00,536130.00,69.08,3.99,Tamil,12.71,Youth,29-04-2025
NY-CMP-1133,Paid Ads,Premium Shoppers,18.00,Facebook,79948.00,1641.00,630.00,499.00,279440.00,465.08,0.20,Tamil,3.46,Working Women,24-11-2024
NY-CMP-1134,SEO,College Students,10.00,"Email, Facebook",83836.00,9077.00,3824.00,1553.00,851044.00,106.54,4.14,Tamil,17.24,Premium Shoppers,06-10-2025
NY-CMP-1135,Paid Ads,Youth,6.00,"WhatsApp, Google",82314.00,11125.00,4379.00,1588.00,1056020.00,82.69,7.04,Bengali,20.76,Tier 2 City Customers,17-12-2024
NY-CMP-1136,Email,Youth,13.00,"Instagram, YouTube, Google",15809.00,2154.00,449.00,305.00,195200.00,491.68,0.30,Bengali,18.39,Youth,17-12-2024
NY-CMP-1137,Influencer,Working Women,21.00,"Instagram, Facebook",23866.00,1157.00,471.00,295.00,98530.00,542.93,-0.38,Tamil,8.06,Premium Shoppers,22-01-2025
NY-CMP-1138,SEO,Premium Shoppers,19.00,"WhatsApp, Google",73044.00,3187.00,1759.00,569.00,385782.00,184.41,2.68,English,7.55,Tier 2 City Customers,08-01-2024
NY-CMP-1139,Social Media,Tier 2 City Customers,23.00,Facebook,26385.00,2511.00,940.00,434.00,199640.00,653.94,-0.30,Hindi,14.72,Premium Shoppers,24-02-2025
NY-CMP-1140,Email,Premium Shoppers,5.00,"Email, YouTube, Facebook",68710.00,8506.00,4996.00,3472.00,2249856.00,38.16,15.98,Tamil,24.70,Tier 2 City Customers,30-05-2025
NY-CMP-1141,Email,Premium Shoppers,17.00,"Google, WhatsApp",66210.00,5609.00,2776.00,1529.00,518331.00,101.69,2.33,Tamil,14.97,College Students,30-05-2025
NY-CMP-1142,SEO,College Students,10.00,"WhatsApp, Google, Email",29278.00,3293.00,1504.00,1073.00,716764.00,254.52,1.62,English,20.05,College Students,04-07-2025
NY-CMP-1143,Email,Premium Shoppers,30.00,"WhatsApp, Instagram, YouTube",35430.00,4351.00,1006.00,682.00,403062.00,165.63,2.57,Bengali,17.04,Youth,04-12-2025
NY-CMP-1144,SEO,College Students,14.00,Facebook,13214.00,530.00,213.00,156.00,118872.00,1568.28,-0.51,Hindi,6.80,College Students,09-03-2024
NY-CMP-1145,Influencer,Youth,20.00,Instagram,54685.00,5423.00,2255.00,1052.00,724828.00,279.17,1.47,Hindi,15.96,Youth,01-12-2025
NY-CMP-1146,Paid Ads,Premium Shoppers,15.00,Facebook,40445.00,2689.00,1201.00,814.00,351648.00,75.35,4.73,Hindi,11.63,College Students,19-11-2024
NY-CMP-1147,Influencer,Premium Shoppers,18.00,"Email, Google",45821.00,2552.00,965.00,733.00,433936.00,245.74,1.41,Bengali,9.28,Premium Shoppers,12-06-2024
NY-CMP-1148,Influencer,Youth,9.00,Instagram,51791.00,2432.00,1287.00,638.00,304326.00,421.13,0.13,English,8.41,Premium Shoppers,05-01-2025
NY-CMP-1149,Influencer,Tier 2 City Customers,20.00,"Facebook, Email, YouTube",82365.00,9920.00,2972.00,2086.00,1410136.00,43.11,14.68,Hindi,18.18,College Students,17-02-2025
NY-CMP-1150,SEO,Premium Shoppers,7.00,"Email, YouTube, Facebook",68867.00,5342.00,2966.00,1331.00,806586.00,174.47,2.47,Tamil,14.00,Working Women,27-07-2024
NY-CMP-1151,Influencer,College Students,13.00,Email,28582.00,2086.00,630.00,411.00,286467.00,590.90,0.18,English,10.94,Premium Shoppers,30-03-2025
